cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,trn,trnipcoc,trnusgov,trnmuni,trncbo,trnfcfg,trnfc,trnfg
"57899","0","3317192","3370517","1st Advantage Bank","Saint Peters","MO","63376","6/30/2012","8/19/2019","NM","240 Salt Lick Road","1ST ADVANTAGE BANCSHARES, INC.","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","6438","6398","0","40","0","0","0","0"
"22039","0","564856","1128415","1st Bank","Sidney","MT","59270","6/30/2012","8/19/2019","SM","120 Second Street, N.W.","1ST UNITED BANCORPORATION, INC.","2","0","0","2","1","Richland","","","6/9/1975","6/9/1975","9/19/2014","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.our1stbank.com","54886","54872","14","0","0","0","0","0"
"16419","17301","419255","1055780","1st Bank & Trust","Broken Bow","OK","74728","6/30/2012","8/19/2019","SM","710 South Park Drive","SOUTHEASTERN BANCSHARES, INC.","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www/1stbankandtrust.com","50178","43609","0","6569","0","0","0","0"
"30367","5236","148470","3848427","1st Bank of Sea Isle City","Sea Isle City","NJ","8243","6/30/2012","8/19/2019","SA","4301 Landis Avenue","SEA ISLE FINANCIAL CORP, MHC","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","12/11/2013","Stock","0","0","OCC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","40986","40269","0","717","0","0","0","0"
"4788","0","488055","1055904","1st Bank of Troy","Troy","KS","66087","6/30/2012","8/19/2019","NM","212 South Main Street","DON-CO. INVESTMENT COMPANY","1","0","0","2","0","Doniphan","41140","St. Joseph, MO-KS","2/4/1870","1/1/1934","5/31/2013","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","","13568","9199","0","4369","0","0","0","0"
"57298","0","3048487","3559844","1st Bank Yuma","Yuma","AZ","85364","6/30/2012","8/19/2019","NM","2799 South 4th Avenue","WESTERN ARIZONA BANCORP, INC.","4","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","8/6/2015","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","76140","75492","0","648","0","0","0","0"
"32487","8322","941653","1064791","1st Cameron State Bank","Cameron","MO","64429","6/30/2012","8/19/2019","NM","124 South Walnut","C & M BANCSHARES, INC.","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.1stcameron.com","11865","10944","7","914","0","0","0","0"
"58485","0","3594797","0","1st Capital Bank","Monterey","CA","93940","6/30/2012","8/19/2019","NM","5 Harris Court, Bldg N, # No","","4","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","12/12/2012","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapital.bank","112100","108655","0","449","2996","0","0","0"
"57657","0","3247598","3602236","1st Century Bank,  National Association","Los Angeles","CA","90067","6/30/2012","8/19/2019","N","1875 Century Park East, # 14","1ST CENTURY BANCSHARES, INC.","1","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","3/1/2004","3/1/2004","6/30/2016","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (West)","San Francisco","Western","Western","0","1","","174108","174108","0","0","0","0","0","0"
"35456","0","2920773","3118513","1st Colonial National Bank","Collingswood","NJ","8108","6/30/2012","8/19/2019","N","1040 Haddon Avenue","1ST COLONIAL BANCORP, INC.","4","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","10/31/2012","Stock","0","0","OCC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","30326","15916","0","14386","24","0","0","0"
