ZIP,Latitude,Longitude
99921,55.4749,-133.1525
99901,55.5236,-132.8454
99840,59.4572,-135.3133
99835,57.8279,-135.9805
99827,59.2822,-138.3678
99811,58.4775,-134.155
99801,59,-134.7886
99762,65.1463,-164.9989
99752,66.8983,-162.5967
99737,63.5421,-145.257
99712,64.9313,-146.7369
99711,64.6607,-147.2749
99709,64.7667,-148.179
99705,64.5543,-147.2454
99701,64.8285,-147.7435
99685,53.8738,-166.5378
99669,60.2524,-150.4862
99645,61.8599,-148.0761
99632,62.0856,-163.7294
99615,59.2598,-158.0416
99603,59.5562,-150.9257
99559,60.7921,-161.7546
99524,61.1878,-149.8875
99519,61.1827,-149.984
99518,61.1567,-149.8837
99517,61.1915,-149.94
99515,61.1123,-149.8943
99508,61.2079,-149.8086
99507,61.1454,-149.7853
99504,61.1628,-149.5333
99503,61.1893,-149.8903
99502,61.1632,-149.9926
99501,61.2235,-149.8584
99362,46.1459,-118.3256
99354,46.3382,-119.3034
99352,46.2372,-119.2598
99350,46.2868,-119.7466
99349,46.7323,-119.6714
99344,46.8081,-119.0911
99338,46.0763,-119.2966
99336,46.2168,-119.1723
99324,46.0447,-118.3985
99320,46.2528,-119.5038
99301,46.4185,-118.9482
99224,47.632,-117.4978
99220,47.6566,-117.3763
99217,47.7438,-117.2659
99216,47.6698,-117.2185
99208,47.7812,-117.4736
99207,47.6856,-117.3873
99205,47.6939,-117.4427
99204,47.6474,-117.4285
99203,47.63,-117.4062
99202,47.6566,-117.3938
99201,47.6688,-117.4365
99166,48.584,-118.6638
99164,46.7376,-117.1796
99163,46.7269,-117.2117
99141,48.7245,-118.2415
99133,48.0175,-119.0816
99114,48.687,-117.7927
99036,47.5282,-117.2848
99019,47.6391,-117.0832
98951,46.4476,-120.5347
98944,46.4304,-119.9354
98942,46.7692,-120.6687
98926,47.0365,-120.3571
98908,46.6233,-120.7169
98903,46.5469,-120.7647
98902,46.5979,-120.5347
98901,46.7259,-120.2805
98855,48.6792,-119.342
98848,47.2066,-119.8541
98841,48.2736,-119.1285
98837,47.1929,-119.2909
98823,47.2694,-119.5734
98816,48.1562,-120.5291
98801,47.4425,-120.3714
98687,45.721,-122.6425
98686,45.7289,-122.6275
98685,45.7135,-122.6887
98684,45.6266,-122.5176
98683,45.6017,-122.5123
98682,45.6733,-122.4765
98674,45.9456,-122.6303
98672,45.8305,-121.4709
98671,45.6761,-122.1713
98665,45.6829,-122.6488
98664,45.6172,-122.5789
98662,45.6862,-122.5758
98661,45.6434,-122.6224
98660,45.7207,-122.7463
98632,46.1958,-123.0709
98631,46.3981,-124.0382
98625,46.0274,-122.7873
98607,45.6405,-122.4127
98604,45.8017,-122.4891
98597,46.8705,-122.5736
98584,47.2731,-123.1406
98580,46.9855,-122.4797
98579,46.8046,-123.0742
98537,46.8516,-123.6034
98532,46.6563,-123.0075
98531,46.7468,-122.9001
98528,47.4342,-122.8997
98516,47.1121,-122.7893
98513,46.9861,-122.731
98512,46.9447,-123.0312
98506,47.104,-122.8608
98504,46.996,-122.8698
98503,47.0262,-122.8024
98502,47.0997,-123.0275
98501,46.9744,-122.8722
98499,47.1685,-122.5045
98498,47.1537,-122.5687
98467,47.1998,-122.5432
98466,47.2249,-122.5354
98447,47.1454,-122.4435
98446,47.1322,-122.3754
98444,47.1497,-122.45
98424,47.2312,-122.3462
98421,47.2604,-122.3982
98418,47.2212,-122.4469
98409,47.2099,-122.4811
98407,47.2976,-122.5166
98406,47.259,-122.5086
98405,47.249,-122.4742
98404,47.2078,-122.4125
98403,47.2659,-122.4579
98402,47.2513,-122.4393
98401,47.2536,-122.4368
98390,47.199,-122.231
98387,47.0579,-122.3633
98383,47.6696,-122.7053
98382,48.0219,-123.0905
98375,47.1131,-122.3252
98374,47.1326,-122.2665
98372,47.2131,-122.2731
98371,47.2038,-122.3257
98370,47.7523,-122.6253
98368,48.0352,-122.8823
98366,47.5449,-122.582
98363,48.019,-123.7579
98360,47.0086,-122.1222
98356,46.5713,-122.3344
98337,47.5655,-122.6352
98335,47.2943,-122.6197
98312,47.5698,-122.7726
98310,47.5913,-122.6227
98296,47.8542,-122.1162
98292,48.2106,-122.2972
98290,47.9403,-122.0373
98284,48.5072,-122.1027
98275,47.911,-122.3078
98274,48.3646,-122.237
98273,48.3995,-122.4025
98272,47.8676,-121.9194
98264,48.9268,-122.4558
98261,48.4924,-122.9034
98249,48.017,-122.4952
98248,48.8668,-122.6253
98243,48.6235,-123.013
98230,48.9263,-122.7251
98229,48.6823,-122.4235
98226,48.7994,-122.4321
98225,48.7389,-122.4808
98221,48.4643,-122.619
98208,47.9069,-122.1831
98206,47.9989,-122.1881
98204,47.9009,-122.2623
98203,47.9465,-122.2394
98201,47.9798,-122.1818
98199,47.6512,-122.4001
98198,47.3835,-122.3126
98195,47.6622,-122.2952
98188,47.4444,-122.2688
98168,47.4909,-122.303
98166,47.4464,-122.3493
98161,47.6078,-122.3342
98155,47.7526,-122.3023
98154,47.6064,-122.3336
98148,47.4469,-122.3265
98145,47.6623,-122.2951
98144,47.5847,-122.3031
98134,47.5698,-122.3361
98133,47.7419,-122.3422
98126,47.5487,-122.375
98125,47.7153,-122.3032
98122,47.6067,-122.3022
98121,47.614,-122.3467
98119,47.6402,-122.3682
98118,47.5401,-122.2765
98117,47.6855,-122.3807
98116,47.5736,-122.399
98115,47.6869,-122.2925
98114,47.6021,-122.3267
98112,47.6307,-122.2955
98111,47.6118,-122.3331
98110,47.6496,-122.5482
98109,47.6343,-122.3486
98108,47.5378,-122.3133
98107,47.6633,-122.3698
98106,47.5487,-122.3544
98105,47.6601,-122.2981
98104,47.6029,-122.3299
98103,47.6738,-122.3427
98102,47.6347,-122.3212
98101,47.6107,-122.3331
98093,47.3044,-122.1955
98092,47.2857,-122.0908
98087,47.8672,-122.2533
98077,47.751,-122.0426
98075,47.5808,-122.0406
98074,47.6219,-122.0262
98073,47.6742,-122.1203
98072,47.7649,-122.1344
98070,47.4198,-122.4752
98065,47.5707,-121.7557
98059,47.4943,-122.1244
98058,47.4361,-122.1249
98057,47.4831,-122.2158
98056,47.5081,-122.1843
98055,47.4637,-122.2134
98053,47.6628,-122.0254
