DATE,GINIALLRF
1947-01-01,0.376
1948-01-01,0.371
1949-01-01,0.378
1950-01-01,0.379
1951-01-01,0.363
1952-01-01,0.368
1953-01-01,0.359
1954-01-01,0.371
1955-01-01,0.363
1956-01-01,0.358
1957-01-01,0.351
1958-01-01,0.354
1959-01-01,0.361
1960-01-01,0.364
1961-01-01,0.374
1962-01-01,0.362
1963-01-01,0.362
1964-01-01,0.361
1965-01-01,0.356
1966-01-01,0.349
1967-01-01,0.358
1968-01-01,0.348
1969-01-01,0.349
1970-01-01,0.353
1971-01-01,0.355
1972-01-01,0.359
1973-01-01,0.356
1974-01-01,0.355
1975-01-01,0.357
1976-01-01,0.358
1977-01-01,0.363
1978-01-01,0.363
1979-01-01,0.365
1980-01-01,0.365
1981-01-01,0.369
1982-01-01,0.380
1983-01-01,0.382
1984-01-01,0.383
1985-01-01,0.389
1986-01-01,0.392
1987-01-01,0.393
1988-01-01,0.395
1989-01-01,0.401
1990-01-01,0.396
1991-01-01,0.397
1992-01-01,0.404
1993-01-01,0.429
1994-01-01,0.426
1995-01-01,0.421
1996-01-01,0.425
1997-01-01,0.429
1998-01-01,0.430
1999-01-01,0.429
2000-01-01,0.433
2001-01-01,0.435
2002-01-01,0.434
2003-01-01,0.436
2004-01-01,0.438
2005-01-01,0.440
2006-01-01,0.444
2007-01-01,0.432
2008-01-01,0.438
2009-01-01,0.443
2010-01-01,0.440
2011-01-01,0.450
2012-01-01,0.451
2013-01-01,0.455
2014-01-01,0.452
2015-01-01,0.448
2016-01-01,0.452
2017-01-01,0.458
2018-01-01,0.452
