"Fiscal Year","Employer","Initial Approvals","Initial Denials","Continuing Approvals","Continuing Denials","NAICS","Tax ID","State","City","ZIP"
"2019","SOUTHERN CARPET HARDWOOD & TILE IN","1","0","0","0","23","","AL","BIRMINGHAM","35209"
"2019","UAB HEALTH SYSTEM","0","0","0","1","56","","AL","BIRMINGHAM","35233"
"2019","BIRMINGHAM VA MEDICAL CENTER","0","0","1","0","62","","AL","BIRMINGHAM","35233"
"2019","GESTAMP ALABAMA LLC","1","0","0","0","33","","AL","MC CALLA","35111"
"2019","ARKANSAS HEALTH GROUP","0","0","1","0","62","","AR","LITTLE ROCK","72211"
"2019","UNIV OF ARKANSAS AT MONTICELLO","1","0","0","0","61","","AR","MONTICELLO","71656"
"2019","CAVE CREEK UNIFIED SCH DIST 93","1","0","0","0","61","","AZ","CAVE CREEK","85327"
"2019","PARADIGM TECH CONSULTING LLC D/B/A","0","0","1","0","54","","AZ","SCOTTSDALE","85260"
"2019","ADVANCED ONCOLOGY GROUP LLC","1","0","0","0","62","","CA","ARCADIA","91007"
"2019","TC SPOILERS INC","0","0","1","0","44","","CA","CITY OF INDUSTRY","91744"
"2019","APEXLOGISTICS INTL SFO INC","0","1","0","0","54","","CA","COMPTON","90221"
"2019","GUTHY RENKER LLC","0","0","1","0","54","","CA","EL SEGUNDO","90245"
"2019","INFORMATIVE RESEARCH INC","0","0","1","0","56","","CA","GARDEN GROVE","92843"
"2019","CALIFORNIA STATE UNIV EAST BAY","0","0","1","0","61","","CA","HAYWARD","94542"
"2019","FRIENDLY FRANCHISES CORPORATION","0","0","1","0","99","","CA","LA PALMA","90623"
"2019","BRANDMAN UNIVERSITY","1","0","0","0","61","","CA","LOS ANGELES","90008"
"2019","DOTUM OYENUGA D/B/A ANALYSIS & SOL","0","1","0","0","54","","CA","LOS ANGELES","90034"
"2019","AZUSA PACIFIC UNIV","1","0","0","0","61","","CA","LOS ANGELES","90048"
"2019","ROYAL BUSINESS BANK","0","0","1","0","52","","CA","SAN GABRIEL","91776"
"2019","FOOTHILL HEALTH CENTER D/B/A FOOTH","0","0","1","0","62","","CA","SAN JOSE","95127"
"2019","EOCELL INC","0","0","1","0","54","","CA","SAN JOSE","95131"
"2019","QUANTUM SECURE","1","0","0","0","51","","CA","SAN JOSE","95134"
"2019","AGISTIX INC","0","0","1","0","54","","CA","SAN MATEO","94402"
"2019","INTELLITIME SYSTEMS CORP","0","1","0","0","51","","CA","SANTA ANA","92701"
"2019","NEXTOGEN INC","0","1","0","0","54","","CA","SUNNYVALE","94086"
"2019","BPO SYSTEMS INC","0","0","1","0","54","","CA","WALNUT CREEK","94598"
"2019","EVALUATOR GROUP INC","1","0","0","0","54","","CO","BOULDER","80301"
"2019","WHOLE HEMP CO D/B/A FOLIUM BIOSCIE","0","0","1","0","32","","CO","COLORADO SPRINGS","80915"
"2019","CABLE MANAGEMENT LLC","1","0","0","0","33","","CT","MERIDEN","06450"
"2019","CRITICAL MIX","0","0","1","0","54","","CT","WESTPORT","06880"
"2019","DISTRICT OF COLUMBIA PUBLIC SCHOOL","2","0","1","0","61","","DC","WASHINGTON","20002"
"2019","UNIV OF THE DISTRICT OF COLUMBIA","0","0","1","0","61","","DC","WASHINGTON","20008"
"2019","FLORIDA ATLANTIC UNIV","0","0","1","0","61","","FL","BOCA RATON","33431"
"2019","VEETHREE ELECTRONICS & MARINE LLC","0","0","1","0","33","","FL","BRADENTON","34203"
"2019","JC MACHINE WORKS CORP","0","0","1","0","23","","FL","DORAL","33178"
"2019","JUDGE SOFTWARE PROF INC","0","0","1","0","54","","FL","JACKSONVILLE","32258"
"2019","V3 USA INC","0","0","1","0","54","","FL","MAITLAND","32751"
"2019","GONZALEZ ARCHITECTS","0","0","1","0","54","","FL","MIAMI","33134"
"2019","RADISE INTL L C","1","0","0","0","54","","FL","RIVIERA BEACH","33404"
"2019","DEFENSESTORM INC","1","0","0","0","51","","GA","ALPHARETTA","30005"
"2019","JDC CONSULTING SOLUTIONS LLC","0","0","1","0","54","","GA","ATLANTA","30328"
"2019","BRANDSCAPES WORLDWIDE CONSULTANCY","1","0","0","0","54","","GA","ATLANTA","30346"
"2019","CRYOOCYTE INC","1","0","0","0","54","","GA","ATLANTA","30361"
"2019","COVENANT COLLEGE","0","0","1","0","61","","GA","LOOKOUT MOUNTAIN","30750"
"2019","SNF HOLDING COMPANY","1","0","0","0","32","","GA","RICEBORO","31323"
"2019","ARCUS TECHNOLOGIES DBA KAT TECH S","1","0","0","0","54","","IL","ARLINGTON HEIGHTS","60005"
"2019","COMMUNITY CONSOLIDATED SCH DIST NO","1","0","0","0","61","","IL","BLOOMINGDALE","60108"
"2019","JOHN H STROGER JR HOSPITAL OF COOK","0","0","4","0","62","","IL","CHICAGO","60612"
"2019","CHICAGO CITY SOCCER CLUB","0","0","1","0","61","","IL","CHICAGO","60613"
"2019","LAUNCHPOINT VENTURES LLC D B A LAU","0","0","1","0","51","","IL","ITASCA","60143"
"2019","GRAYCOR CONSTRUCTION COMPANY INC","0","0","1","0","23","","IL","OAKBROOK TERRACE","60181"
"2019","CYBERBRIDGE INTERNATIONAL INC","1","0","0","0","99","","IL","SCHAUMBURG","60173"
"2019","INDIANA INTERNAL MED CONSULTANTS","0","0","1","0","62","","IN","GREENWOOD","46143"
"2019","MOREHEAD STATE UNIVERSITY","0","0","1","0","61","","KY","MOREHEAD","40351"
"2019","PRIME OCCUPATIONAL SERVICES LLC","0","0","1","0","62","","LA","BATON ROUGE","70817"
"2019","MASSACHUSETTS TRIAL COURTS","0","0","1","0","54","","MA","BOSTON","02108"
"2019","PUTNAM US HOLDINGS I LLC","1","0","0","0","52","","MA","BOSTON","02109"
"2019","SYMPHONY EYC SOLUTIONS US LLC","1","0","0","0","54","","MA","BRAINTREE","02184"
"2019","FORRESTER RESEARCH INC","3","0","5","1","99","","MA","CAMBRIDGE","02140"
"2019","MERRIMACK VALLEY DENTAL CARE PC","1","0","0","0","62","","MA","DRACUT","01826"
"2019","STRATUS TECHNOLOGIES INC","0","0","1","0","54","","MA","MAYNARD","01754"
"2019","ECA SOLAR LLC","1","0","0","0","22","","MA","WALTHAM","02453"
"2019","BEACON ST SERVICES LLC","0","0","1","0","51","","MD","BALTIMORE","21201"
"2019","CREOAL CONSULTING","1","0","0","0","54","","MD","BETHESDA","20814"
"2019","BEL AIR DENTAL HEALTH ASSOCIATES","1","0","0","0","62","","MD","FOREST HILL","21050"
"2019","LEADER FUNDING INC","0","0","1","0","52","","MD","GAITHERSBURG","20878"
"2019","ST MARY S COLLEGE OF MARYLAND","0","0","1","0","61","","MD","SAINT MARYS CITY","20686"
"2019","STRUCTURAL DESIGH INCORPORATED D/B","1","0","0","0","54","","MI","ANN ARBOR","48104"
"2019","F H R INC DBA MI LANGUAGE CTR","0","1","0","0","61","","MI","ANN ARBOR","48104"
"2019","ZHONGDING USA CADILLAC INC DBA MIC","1","0","0","0","32","","MI","CADILLAC","49601"
"2019","REAL WORLD TECHNOLOGIES INC","0","0","1","0","54","","MI","FARMINGTON","48334"
"2019","SYNTEL IN","0","0","1","0","54","","MI","TROY","48083"
"2019","VISTEON CORPORATION","0","0","1","0","99","","MI","VAN BUREN TWP","48111"
"2019","FORSMAN FARMS INC","1","0","0","1","11","","MN","HOWARD LAKE","55349"
"2019","POPLAR BLUFF HMA PHYSICIAN MGMT","0","0","1","0","62","","MO","POPLAR BLUFF","63901"
"2019","WASHINGTON UNIVERSITY","1","0","0","0","61","","MO","SAINT LOUIS","63130"
"2019","NOVUS RESOURCES INC","0","0","1","0","54","","NC","CARY","27519"
"2019","UNIV OF NC AT GREENSBORO","1","0","0","0","61","","NC","GREENSBORO","27412"
"2019","LEMON TREE MEDIA LLC","1","0","0","0","54","","NC","RALEIGH","27615"
"2019","BB&T CORP","0","0","1","0","52","","NC","WINSTON SALEM","27102"
"2019","BB&T CORP","0","0","2","0","99","","NC","WINSTON SALEM","27102"
"2019","DOOSAN INFRACORE NORTH AMERICA LLC","0","0","1","0","33","","ND","WEST FARGO","58078"
