,index,NAICS,NAICS_Title
0,0,11,"Agriculture, Forestry, Fishing and Hunting"
1,1,111,Crop Production
2,2,1111,Oilseed and Grain Farming
3,3,11111,Soybean Farming
4,4,111110,Soybean Farming
5,5,11112,Oilseed (except Soybean) Farming
6,6,111120,Oilseed (except Soybean) Farming
7,7,11113,Dry Pea and Bean Farming
8,8,111130,Dry Pea and Bean Farming
9,9,11114,Wheat Farming
10,10,111140,Wheat Farming
11,11,11115,Corn Farming
12,12,111150,Corn Farming
13,13,11116,Rice Farming
14,14,111160,Rice Farming
15,15,11119,Other Grain Farming
16,16,111191,Oilseed and Grain Combination Farming
17,17,111199,All Other Grain Farming
18,18,1112,Vegetable and Melon Farming
19,19,11121,Vegetable and Melon Farming
20,20,111211,Potato Farming
21,21,111219,Other Vegetable (except Potato) and Melon Farming
22,22,1113,Fruit and Tree Nut Farming
23,23,11131,Orange Groves
24,24,111310,Orange Groves
25,25,11132,Citrus (except Orange) Groves
26,26,111320,Citrus (except Orange) Groves
27,27,11133,Noncitrus Fruit and Tree Nut Farming
28,28,111331,Apple Orchards
29,29,111332,Grape Vineyards
30,30,111333,Strawberry Farming
31,31,111334,Berry (except Strawberry) Farming
32,32,111335,Tree Nut Farming
33,33,111336,Fruit and Tree Nut Combination Farming
34,34,111339,Other Noncitrus Fruit Farming
35,35,1114,"Greenhouse, Nursery, and Floriculture Production"
36,36,11141,Food Crops Grown Under Cover
37,37,111411,Mushroom Production
38,38,111419,Other Food Crops Grown Under Cover
39,39,11142,Nursery and Floriculture Production
40,40,111421,Nursery and Tree Production
41,41,111422,Floriculture Production
42,42,1119,Other Crop Farming
43,43,11191,Tobacco Farming
44,44,111910,Tobacco Farming
45,45,11192,Cotton Farming
46,46,111920,Cotton Farming
47,47,11193,Sugarcane Farming
48,48,111930,Sugarcane Farming
49,49,11194,Hay Farming
50,50,111940,Hay Farming
51,51,11199,All Other Crop Farming
52,52,111991,Sugar Beet Farming
53,53,111992,Peanut Farming
54,54,111998,All Other Miscellaneous Crop Farming
55,55,112,Animal Production and Aquaculture
56,56,1121,Cattle Ranching and Farming
57,57,11211,"Beef Cattle Ranching and Farming, including Feedlots"
58,58,112111,Beef Cattle Ranching and Farming
59,59,112112,Cattle Feedlots
60,60,11212,Dairy Cattle and Milk Production
61,61,112120,Dairy Cattle and Milk Production
62,62,11213,Dual-Purpose Cattle Ranching and Farming
63,63,112130,Dual-Purpose Cattle Ranching and Farming
64,64,1122,Hog and Pig Farming
65,65,11221,Hog and Pig Farming
66,66,112210,Hog and Pig Farming
67,67,1123,Poultry and Egg Production
68,68,11231,Chicken Egg Production
69,69,112310,Chicken Egg Production
70,70,11232,Broilers and Other Meat Type Chicken Production
71,71,112320,Broilers and Other Meat Type Chicken Production
72,72,11233,Turkey Production
73,73,112330,Turkey Production
74,74,11234,Poultry Hatcheries
75,75,112340,Poultry Hatcheries
76,76,11239,Other Poultry Production
77,77,112390,Other Poultry Production
78,78,1124,Sheep and Goat Farming
79,79,11241,Sheep Farming
80,80,112410,Sheep Farming
81,81,11242,Goat Farming
82,82,112420,Goat Farming
83,83,1125,Aquaculture
84,84,11251,Aquaculture
85,85,112511,Finfish Farming and Fish Hatcheries
86,86,112512,Shellfish Farming
87,87,112519,Other Aquaculture
88,88,1129,Other Animal Production
89,89,11291,Apiculture
90,90,112910,Apiculture
91,91,11292,Horses and Other Equine Production
92,92,112920,Horses and Other Equine Production
93,93,11293,Fur-Bearing Animal and Rabbit Production
94,94,112930,Fur-Bearing Animal and Rabbit Production
95,95,11299,All Other Animal Production
96,96,112990,All Other Animal Production
97,97,113,Forestry and Logging
98,98,1131,Timber Tract Operations
99,99,11311,Timber Tract Operations
100,100,113110,Timber Tract Operations
101,101,1132,Forest Nurseries and Gathering of Forest Products
102,102,11321,Forest Nurseries and Gathering of Forest Products
103,103,113210,Forest Nurseries and Gathering of Forest Products
104,104,1133,Logging
105,105,11331,Logging
106,106,113310,Logging
107,107,114,"Fishing, Hunting and Trapping"
108,108,1141,Fishing
109,109,11411,Fishing
110,110,114111,Finfish Fishing
111,111,114112,Shellfish Fishing
112,112,114119,Other Marine Fishing
113,113,1142,Hunting and Trapping
114,114,11421,Hunting and Trapping
115,115,114210,Hunting and Trapping
116,116,115,Support Activities for Agriculture and Forestry
117,117,1151,Support Activities for Crop Production
118,118,11511,Support Activities for Crop Production
119,119,115111,Cotton Ginning
120,120,115112,"Soil Preparation, Planting, and Cultivating"
121,121,115113,"Crop Harvesting, Primarily by Machine"
122,122,115114,Postharvest Crop Activities (except Cotton Ginning)
123,123,115115,Farm Labor Contractors and Crew Leaders
124,124,115116,Farm Management Services
125,125,1152,Support Activities for Animal Production
126,126,11521,Support Activities for Animal Production
127,127,115210,Support Activities for Animal Production
128,128,1153,Support Activities for Forestry
129,129,11531,Support Activities for Forestry
130,130,115310,Support Activities for Forestry
131,131,21,"Mining, Quarrying, and Oil and Gas Extraction"
132,132,211,Oil and Gas Extraction
133,133,2111,Oil and Gas Extraction
134,134,21112,Crude Petroleum Extraction
135,135,211120,Crude Petroleum Extraction
136,136,21113,Natural Gas Extraction
137,137,211130,Natural Gas Extraction
138,138,212,Mining (except Oil and Gas)
139,139,2121,Coal Mining
140,140,21211,Coal Mining
141,141,212111,Bituminous Coal and Lignite Surface Mining
142,142,212112,Bituminous Coal Underground Mining
143,143,212113,Anthracite Mining
144,144,2122,Metal Ore Mining
145,145,21221,Iron Ore Mining
146,146,212210,Iron Ore Mining
147,147,21222,Gold Ore and Silver Ore Mining
148,148,212221,Gold Ore Mining
149,149,212222,Silver Ore Mining
150,150,21223,"Copper, Nickel, Lead, and Zinc Mining"
151,151,212230,"Copper, Nickel, Lead, and Zinc Mining"
152,152,21229,Other Metal Ore Mining
153,153,212291,Uranium-Radium-Vanadium Ore Mining
154,154,212299,All Other Metal Ore Mining
155,155,2123,Nonmetallic Mineral Mining and Quarrying
